Latitude,Longitude,Hour,DayOfWeek,Month,PartOfDay,Police Station,Type_encoded
12.9323487,77.55561016,18,6,11,1,14,0
12.5489333,77.9229783,14,4,11,0,14,0
12.9316735,77.54922909,0,1,11,3,14,0
12.92224021,77.55933137,10,6,11,2,14,0
12.56127336,77.93158689,16,4,5,0,14,0
12.9275397,77.55135618,0,2,11,3,14,0
12.93036118,77.54744103,5,1,12,2,14,0
12.92714515,77.55837118,9,4,12,2,14,0
12.92793815,77.55418783,0,3,12,3,14,0
12.92809656,77.55620281,8,4,12,2,14,0
12.93125084,77.55737522,14,0,9,0,14,0
12.93251285,77.56071715,0,6,11,3,14,0
12.5489333,77.9229783,8,0,12,2,14,0
12.92714869,77.54540158,11,4,1,2,14,0
12.93288477,77.55468556,10,5,1,2,14,0
12.92220578,77.54284292,12,4,1,0,14,0
12.92380368,77.55,17,2,1,1,14,0
12.554873,77.334984,19,1,1,1,14,0
12.927981,77.557327,11,5,12,2,14,0
12.928161,77.557262,0,5,12,3,14,0
12.923171,77.555936,10,0,1,2,14,0
12.934342,77.557262,11,4,4,2,14,0
12.932454,77.559855,0,1,11,3,14,0
12.9218,77.54423,0,1,12,3,14,0
12.927585,77.553824,11,6,12,2,14,0
12.929281,77.556975,11,1,12,2,14,0
12.926065,77.550154,0,1,12,3,14,0
12.909037,77.64683,0,4,8,3,14,0
12.921697,77.543009,10,5,10,2,14,0
12.935785,77.543343,10,5,10,2,14,0
12.994327,77.8492,10,0,11,2,14,0
12.926735,77.540531,10,4,1,2,14,0
12.923475,77.553254,10,2,2,2,14,0
12.9232415,77.548245,10,5,2,2,14,0
12.926369,77.55818,0,3,2,3,14,0
12.92995,77.555174,12,3,2,0,14,0
12.938805,77.555873,10,3,3,2,14,0
12.936458,77.542019,11,4,3,2,14,0
12.930977,77.539886,0,0,3,3,14,0
12.921977,77.546792,10,1,3,2,14,0
12.922858,77.54036,11,4,3,2,14,0
12.920915,77.551366,0,3,8,3,14,0
12.932112,77.540144,11,2,4,2,14,0
12.932261,77.561432,0,1,4,3,14,0
12.923431,77.55337,6,5,4,2,14,0
12.929835,77.561032,0,5,11,3,14,0
12.928219,77.561045,0,0,5,3,14,0
12.922051,77.545731,10,3,5,2,14,0
12.921643,77.54754,12,4,5,0,14,0
12.928037,77.561969,0,5,8,3,14,0
12.927757,77.555928,0,6,11,3,14,0
12.930761,77.54681,12,5,5,0,14,0
12.923237,77.549222,10,2,7,2,14,0
12.925478,77.543311,0,5,7,3,14,0
12.92338,77.545354,0,6,8,3,14,0
12.924522,77.556745,0,0,8,3,14,0
12.930204,77.550247,11,0,8,2,14,0
12.922928,77.549485,0,3,8,3,14,0
12.932062,77.567332,0,5,8,3,14,0
12.928152,77.541456,0,5,7,3,14,0
12.924104,77.543617,0,1,9,3,14,0
12.924778,77.541163,0,3,9,3,14,0
12.939681,77.55726,10,6,9,2,14,0
12.919656,77.539511,10,1,9,2,14,0
12.924868,77.549211,12,6,4,0,14,0
12.919756,77.542113,14,0,5,0,14,0
12.92516,77.55646,14,5,9,0,14,0
12.922746,77.545253,9,5,12,2,14,0
12.930359,77.547661,13,1,10,0,14,0
12.929444,77.556264,15,3,10,0,14,0
12.932583,77.553005,13,3,8,0,14,0
12.930174,77.560579,12,1,11,0,14,0
12.922977,77.543699,18,3,11,1,14,0
12.933654,77.560956,11,6,11,2,14,0
12.933051,77.563834,6,1,2,2,14,0
12.922185,77.542037,14,0,12,0,14,0
12.924836,77.555671,14,5,12,0,14,0
12.92803,77.552027,15,5,12,0,14,0
12.92043,77.5819,18,0,5,1,14,1
12.915668,77.589964,13,5,6,0,14,1
12.918081,77.587101,13,4,4,0,14,1
12.92819,77.62512,17,0,11,1,14,1
12.92334,77.58484,17,6,8,1,14,1
12.92875,77.5801,18,1,10,1,14,1
12.931037,77.585842,14,2,5,0,14,1
12.922657,77.589563,13,6,10,0,14,1
12.917125,77.578344,11,0,10,2,14,1
12.922461,77.589557,17,1,10,1,14,1
12.891917,77.589229,15,5,10,0,14,1
12.93744,77.56426,11,4,3,2,14,1
